transition,n,r_circular,r_pearson,p_pearson,sig
AA,232,0.23251109517200452,0.0008289320676456539,0.9899806505743897,n.s.
AC,124,0.22223239674351647,0.22438709291316056,0.012231391059898698,*
AO,108,0.035807360568050464,-0.015441767652725757,0.873970098341297,n.s.
CA,124,0.17847911530761346,0.18768293013836987,0.03685477673149049,*
CC,89,0.337898114760152,0.32910117100259273,0.0016379856125619309,**
OA,110,0.1261237538152172,0.008400886041323136,0.9305886476338158,n.s.
OO,99,0.24223259475311898,0.08122692150253732,0.42414240676186105,n.s.
