subject,retrieval_type,task,n_trials,r_circular,beta_sin,beta_cos
813125,active,color,124,0.09204220283743743,2.1989901641128653,-2.3085151910755686
813125,active,orientation,111,0.20560563085217987,2.670942496078217,5.417921390859646
813125,passive,color,114,0.26616440243374245,14.90058945506429,0.8518535590485129
813125,passive,orientation,110,0.21646465400619197,3.405992202018419,11.971199803359111
KL,active,color,151,0.23564050925908836,4.129740710378632,1.6766458288324002
KL,active,orientation,94,0.2482881724527522,-0.20988669361592127,-17.331842531168203
KL,passive,color,106,0.34671196487497974,11.486539560571174,-2.062518525520573
KL,passive,orientation,108,0.06117335968092068,-1.2635275494170002,0.3228843514935256
