condition,n_trials,slope,intercept,r2,slope_folded,r2_folded
Overall,902,0.040765191736614664,7.391496900533501,0.0201270612586969,0.01263738281852973,0.0005431577348268268
Color Task,488,0.04580307763681599,-0.026013372933231624,0.03207462431656971,0.013174812606469037,0.0006555213299339613
Orientation Task,414,0.016690142588976917,16.162084346404022,0.0025758378412664706,-0.06768422386176938,0.005145741311096463
Active Retrieval,474,0.014719643035019301,7.362798987376899,0.0037494992278346295,-0.033483935034410994,0.005115594581316052
Passive Retrieval,428,0.07084417054393057,7.338853629520204,0.045117907793254086,0.0650629892574984,0.011292535702517648
CC (Color→Color),55,0.14622853481746814,-0.2071921054485641,0.11530061374849243,0.15496503054290983,0.0390830820328506
AA (Active→Active),245,0.008197473180350606,7.783835260791579,0.0012899191436902546,-0.04296323810326632,0.008560194124475395
AC (Active→Color),108,0.09476971023204704,-1.336342927953071,0.09334796242608423,0.03107332546627276,0.002708555358979625
CA (Color→Active),115,0.05196830413532019,5.6401663776686295,0.033339769574420086,-0.0019010258718434492,1.3241539465136398e-05
