subject,task,retrieval_type,block,trial,stim,resp,rt,error,delta_s,delta_r,has_lag
813125,color,passive,1,1,108.0,120.63218743532632,3.693582800000513,12.63218743532633,,,False
813125,color,passive,1,4,30.0,35.151929857354034,4.376925900000117,5.151929857354048,78.0,90.63218743532633,True
813125,color,active,1,8,358.0,347.5331113368225,3.478274999999428,-10.466888663177485,32.0,37.15192985735405,True
813125,color,passive,1,13,172.0,178.4465968758318,3.5431299000011336,6.446596875831801,-174.0,175.53311133682251,True
813125,color,active,1,14,338.0,312.75425743410494,3.458900100000392,-25.245742565895057,-166.0,-159.5534031241682,True
813125,color,active,1,15,258.0,268.4252549342468,3.3098066999991715,10.425254934246823,80.0,54.75425743410494,True
813125,color,passive,1,16,224.0,230.34708160029936,2.6282914000003075,6.3470816002993615,34.0,44.42525493424682,True
813125,color,passive,1,17,334.0,292.9606306379023,6.626390299999855,-41.039369362097716,-110.0,-103.65291839970064,True
813125,color,active,1,18,246.0,233.130102354156,4.226873100000375,-12.869897645843992,88.0,46.960630637902284,True
813125,color,active,1,22,286.0,269.6034957448669,5.893207500001154,-16.396504255133095,-40.0,-52.86989764584399,True
813125,color,passive,1,24,146.0,133.65387171588696,6.30939749999925,-12.346128284113036,140.0,123.6034957448669,True
813125,color,active,1,26,58.0,60.06848815949221,4.8932598999999755,2.0684881594922047,88.0,75.65387171588696,True
813125,color,passive,1,27,338.0,357.73204546409414,4.077008500000375,19.732045464094142,80.0,82.06848815949223,True
813125,color,active,1,30,180.0,191.8482662384144,4.75956049999877,11.848266238414396,158.0,177.73204546409414,True
813125,color,passive,1,31,120.0,120.46554491945987,2.694272599999749,0.4655449194598873,60.0,71.8482662384144,True
813125,color,passive,1,32,354.0,355.9004865965981,2.6776253000007273,1.900486596598114,126.0,126.46554491945989,True
813125,color,active,1,35,310.0,300.5070861697579,3.1438477000010607,-9.492913830242117,44.0,45.900486596598114,True
813125,color,passive,1,37,192.0,197.535761538446,2.527120400000058,5.535761538445996,118.0,108.50708616975788,True
813125,color,active,1,38,74.0,53.09144124024412,4.678372299998955,-20.908558759755863,118.0,123.53576153844597,True
813125,color,active,1,39,340.0,308.8989128838456,3.375834099999338,-31.101087116154417,94.0,73.09144124024414,True
813125,color,active,1,43,190.0,195.83526479289745,3.827110000000175,5.835264792897448,150.0,118.89891288384558,True
813125,color,passive,1,44,270.0,274.6627393362546,7.226367200000823,4.662739336254617,-80.0,-74.16473520710255,True
813125,color,active,1,48,266.0,278.47981792685005,4.493744200000947,12.479817926850046,4.0,8.662739336254617,True
813125,color,active,1,49,120.0,120.22544972495342,3.4933400000008987,0.22544972495342108,146.0,158.47981792685005,True
813125,color,passive,1,51,60.0,57.36060601070024,4.5427161999996315,-2.6393939892997764,60.0,60.22544972495342,True
813125,color,passive,1,52,0.0,4.6255058706050685,2.5443316000000777,4.625505870605082,60.0,57.360606010700224,True
813125,color,active,1,54,248.0,246.3942933192309,4.0624265000005835,-1.6057066807690887,112.0,116.62550587060508,True
813125,color,active,1,55,228.0,232.8257451664089,4.060214899998755,4.825745166408893,20.0,18.39429331923091,True
813125,color,passive,1,56,354.0,318.5423611921937,5.359986299999946,-35.45763880780629,-126.0,-121.1742548335911,True
813125,color,active,1,58,110.0,126.5630958685941,2.828303100000994,16.563095868594104,-116.0,-151.4576388078063,True
813125,color,active,2,2,294.0,294.94791785390146,3.1759397999995826,0.9479178539014583,,,False
813125,color,passive,2,3,332.0,298.393019421383,6.142744099999504,-33.606980578617026,-38.0,-37.05208214609854,True
813125,color,passive,2,6,276.0,269.80105712063937,3.977336699999796,-6.198942879360629,56.0,22.393019421382974,True
813125,color,active,2,8,290.0,290.309853932135,3.564613099999633,0.3098539321350131,-14.0,-20.19894287936063,True
813125,color,active,2,10,0.0,0.9612483860247474,3.3100413000009894,0.9612483860247494,-70.0,-69.69014606786499,True
813125,color,active,2,11,60.0,50.86960044301471,3.6940997000001516,-9.130399556985282,-60.0,-59.03875161397525,True
813125,color,active,2,12,324.0,303.4709642746457,3.3761704999996027,-20.529035725354277,96.0,86.86960044301469,True
813125,color,passive,2,15,316.0,303.02386755579664,2.292514400000073,-12.976132444203358,8.0,-12.529035725354277,True
813125,color,passive,2,18,252.0,283.9432309205537,4.209430499998916,31.943230920553674,64.0,51.02386755579664,True
813125,color,active,2,19,8.0,307.71404087351976,6.0914634999990085,-60.285959126480236,-116.0,-84.05676907944633,True
813125,color,active,2,22,60.0,57.000209671885294,3.426130200001353,-2.999790328114699,-52.0,-112.28595912648024,True
813125,color,passive,2,27,78.0,80.02583631474613,5.5101736999986315,2.0258363147461296,-18.0,-20.9997903281147,True
813125,color,active,2,28,162.0,177.1975484801332,3.494184799999857,15.197548480133207,-84.0,-81.97416368525387,True
813125,color,active,2,30,208.0,204.94791785390143,3.6281284999986383,-3.05208214609857,-46.0,-30.802451519866793,True
813125,color,active,2,34,164.0,274.5247684728342,6.742257600000585,110.52476847283418,44.0,40.94791785390143,True
813125,color,passive,2,36,16.0,27.712578971649453,3.027491099999679,11.712578971649464,148.0,-101.47523152716582,True
813125,color,passive,2,37,10.0,29.41024141699911,5.742475299999342,19.4102414169991,6.0,17.712578971649464,True
813125,color,passive,2,38,162.0,178.57299813248534,2.626066799999535,16.57299813248534,-152.0,-132.5897585830009,True
813125,color,passive,2,40,144.0,154.01703395811245,3.4940277000005153,10.01703395811245,18.0,34.57299813248534,True
813125,color,active,2,41,60.0,49.41987113885471,4.293938900000285,-10.580128861145283,84.0,94.01703395811245,True
813125,color,active,2,44,104.0,127.98349825527708,2.4937069000006886,23.983498255277084,-44.0,-54.58012886114528,True
813125,color,passive,2,46,46.0,47.011904987853136,2.8263492999994924,1.0119049878531428,58.0,81.98349825527708,True
813125,color,active,2,48,210.0,250.51387042753424,3.675292800000534,40.51387042753424,-164.0,-162.98809501214686,True
813125,color,active,2,49,42.0,39.996080047759655,3.894868799999813,-2.003919952240352,168.0,-151.48612957246576,True
813125,color,active,2,50,208.0,220.34838554335937,3.7598225999990973,12.34838554335937,-166.0,-168.00391995224035,True
813125,color,passive,2,51,122.0,122.65241186424166,2.377201499999501,0.6524118642416568,86.0,98.34838554335937,True
813125,color,active,2,53,196.0,206.10669471907755,2.8750318000002153,10.106694719077552,-74.0,-73.34758813575834,True
813125,color,passive,2,55,194.0,195.1540680503126,3.1265509000004386,1.1540680503125884,2.0,12.106694719077552,True
813125,color,active,2,56,18.0,31.030847578122835,3.4265467999994144,13.030847578122831,176.0,177.15406805031262,True
813125,color,passive,2,58,246.0,239.85257886599047,3.0614509999993516,-6.147421134009534,132.0,145.0308475781228,True
813125,color,passive,2,59,200.0,229.86745917638737,4.743402500000002,29.86745917638737,46.0,39.852578865990466,True
813125,color,passive,2,60,202.0,206.9958383940866,3.4609571999990294,4.995838394086604,-2.0,27.86745917638737,True
813125,color,passive,3,1,178.0,207.1168393777156,3.043664999999237,29.116839377715593,,,False
813125,color,passive,3,2,120.0,133.1523897340054,3.577078899999833,13.152389734005396,58.0,87.11683937771556,True
813125,color,active,3,6,188.0,191.19097946946775,2.976816500000723,3.1909794694677487,-68.0,-54.847610265994604,True
813125,color,active,3,7,66.0,58.83683900788187,3.1601905999998507,-7.163160992118122,122.0,125.19097946946772,True
813125,color,passive,3,9,322.0,308.2144308210706,4.910295699999324,-13.785569178929393,104.0,96.83683900788185,True
813125,color,passive,3,12,288.0,272.13546344237665,3.5442425000001094,-15.864536557623353,34.0,20.214430821070607,True
813125,color,passive,3,13,54.0,31.70613916970168,3.061140499999965,-22.293860830298314,-126.0,-141.86453655762335,True
813125,color,active,3,14,312.0,302.855721950433,2.8930077000002257,-9.144278049566992,102.0,79.70613916970166,True
813125,color,active,3,16,242.0,237.4354415025276,2.825867500000186,-4.5645584974724045,70.0,60.85572195043301,True
813125,color,passive,3,18,286.0,353.1117417230053,4.927459000000226,67.11174172300531,-44.0,-48.564558497472404,True
813125,color,passive,3,23,192.0,311.4677054161091,5.560261599999649,119.46770541610908,94.0,161.1117417230053,True
813125,color,active,3,24,22.0,34.99202019855866,2.743311399999584,12.992020198558663,170.0,-70.53229458389092,True
813125,color,active,3,25,288.0,278.1029092952044,2.728447999999844,-9.897090704795573,94.0,106.99202019855863,True
813125,color,passive,3,26,242.0,237.0022948987837,3.0441556999994646,-4.997705101216297,46.0,36.10290929520443,True
813125,color,passive,3,27,142.0,171.4391104288354,3.193476300000839,29.43911042883539,100.0,95.0022948987837,True
813125,color,passive,3,32,252.0,258.651275534945,4.142524399998592,6.651275534945,-110.0,-80.56088957116461,True
813125,color,passive,3,33,282.0,284.420773127511,4.742303200000606,2.4207731275109836,-30.0,-23.348724465055,True
813125,color,active,3,34,126.0,121.90507557331996,3.225375100000292,-4.094924426680052,156.0,158.42077312751098,True
813125,color,passive,3,36,92.0,123.7429233961456,6.142224200000328,31.742923396145613,34.0,29.905075573319948,True
813125,color,passive,3,37,150.0,178.56790381583536,4.092960799999219,28.567903815835365,-58.0,-26.257076603854387,True
813125,color,active,3,39,182.0,178.07157768672803,4.5103979999998955,-3.928422313271966,-32.0,-3.432096184164635,True
813125,color,passive,3,40,232.0,228.17983011986425,2.892072399999961,-3.820169880135751,-50.0,-53.928422313271966,True
813125,color,active,3,41,184.0,195.7027328739183,4.20962949999921,11.702732873918308,48.0,44.17983011986425,True
813125,color,passive,3,43,210.0,215.0872485532761,3.1268646000003173,5.087248553276112,-26.0,-14.297267126081692,True
813125,color,passive,3,44,230.0,237.0209087554326,3.1767423000001145,7.0209087554326,-20.0,-14.912751446723888,True
813125,color,active,3,45,34.0,33.90627698844215,3.242268100000956,-0.09372301155784157,-164.0,-156.97909124456737,True
813125,color,passive,3,47,164.0,195.30613897408983,4.811230099999875,31.306138974089833,-130.0,-130.09372301155784,True
813125,color,passive,3,48,158.0,3.4848624439094613,3.9266387000006944,-154.51513755609054,6.0,37.30613897408983,True
813125,color,passive,3,51,104.0,133.75763566932574,3.459974799999827,29.757635669325737,54.0,-100.51513755609054,True
813125,color,passive,3,53,308.0,286.2201936956028,3.427026000000751,-21.779806304397198,156.0,-174.24236433067426,True
813125,color,passive,3,54,64.0,43.12650698640008,2.4607968000000255,-20.873493013599926,-116.0,-137.7798063043972,True
813125,color,passive,3,55,12.0,32.42755499577247,3.327362600000697,20.427554995772482,52.0,31.126506986400074,True
813125,color,passive,3,56,342.0,4.893527055115314,5.192377600000555,22.893527055115328,30.0,50.42755499577248,True
813125,color,passive,3,58,232.0,237.25275951554735,2.7268189000005805,5.252759515547353,110.0,132.89352705511533,True
813125,color,active,3,59,196.0,193.79611168233825,6.293715400000792,-2.2038883176617503,36.0,41.25275951554735,True
813125,color,active,4,1,232.0,236.60345336687652,2.9928328999994847,4.603453366876522,,,False
813125,color,active,4,4,240.0,233.78775628756284,2.4274781000003713,-6.212243712437157,-8.0,-3.396546633123478,True
813125,color,passive,4,5,6.0,24.737927467647754,3.0442419000009977,18.73792746764775,-126.0,-132.21224371243716,True
813125,color,passive,4,10,126.0,127.71971091600628,2.5938009999990754,1.719710916006278,-120.0,-101.26207253235225,True
813125,color,active,4,14,224.0,237.68752137387,3.510158399998545,13.687521373869998,-98.0,-96.28028908399372,True
813125,color,active,4,16,264.0,267.7502512965424,4.376116699999329,3.7502512965423875,-40.0,-26.31247862613,True
813125,color,passive,4,18,132.0,138.57633437499737,2.327524899999844,6.576334374997373,132.0,135.7502512965424,True
813125,color,passive,4,19,10.0,129.96176092666897,5.459889800000838,119.96176092666894,122.0,128.57633437499737,True
813125,color,active,4,22,6.0,25.53743439063632,4.541617000000315,19.53743439063632,4.0,123.96176092666894,True
813125,color,active,4,25,340.0,323.8353732134495,4.5432385000003705,-16.164626786550514,26.0,45.53743439063635,True
813125,color,active,4,26,340.0,324.55163745838183,4.475496199998815,-15.448362541618167,0.0,-16.164626786550514,True
813125,color,active,4,28,144.0,147.1865771578838,4.126091299998734,3.1865771578837894,-164.0,-179.44836254161817,True
