condition,n_trials,amplitude,mu,kappa,peak_bias,r2
Overall,902,4.999999998901373,1.759746843785282,1.6397469958498,-6.308031246282226,0.377266005677249
Color Task,488,2.6913660798350776,33.52940843611217,7.230392668862116,-3.9471233414202387,-1.8782698717498971
Orientation Task,414,4.9999999993856346,-4.562856101971905,1.7260115901776996,-6.367096969396486,0.46059164292586896
Active Retrieval,474,4.999999999971423,-3.474970259019624,1.459201859291085,-6.172715983082362,0.5700418308226396
Passive Retrieval,428,4.99999999895559,6.361209811126931,1.6788148963972087,-6.335167841994645,-0.04827628043870802
